state,abb,median_loan,average_loan,total_loan,num_loans,data,population,per_cap_loan,per_cap_num_loans,unemp_change,epop_change
Virginia,VA,4000000,5619986,28099930,5,old_data,8535519,3.292117327604801,0.05857874606101866,4.1,-5
Washington,WA,6000000,8284000,41420000,5,old_data,7614893,5.439341038672507,0.06566080442627362,4,-3.8000000000000043
Wisconsin,WI,3500000,5109745,20438980,4,old_data,5822434,3.5103841451873907,0.06869979118698469,1.9000000000000004,-1.2000000000000028
West Virginia,WV,3600000,3600000,3600000,1,old_data,1792147,2.008763790023921,0.05579899416733114,2.9000000000000004,-1.1999999999999957
Wyoming,WY,5000000,5000000,5000000,1,old_data,578759,8.63917450959726,0.1727834901919452,1.2999999999999998,-1.6000000000000014
Alaska,AK,1131500,3047250,12189000,4,new_data,731545,16.66199618615396,0.5467879624630064,1.5999999999999996,-0.7000000000000028
Alabama,AL,15000000,26251750,183762250,7,new_data,4903185,37.47813920951381,0.1427643460322219,1.5999999999999996,-0.7999999999999972
Arkansas,AR,3601933.5,14903082,268255476,18,new_data,3017804,88.8909538193998,0.5964602074886242,0.8999999999999995,-0.7000000000000028
Arizona,AZ,9825000,12828989.818181818,282237776,22,new_data,7278717,38.77575896960962,0.3022510697970535,1.9000000000000004,-2.5999999999999943
California,CA,4359428,9590398.102803739,2052345194,214,new_data,39512223,51.94203307670136,0.5416045561395014,4.8,-5.299999999999997
Colorado,CO,7964437.5,11737663.266666668,352129898,30,new_data,5758736,61.14708123449312,0.5209476524014992,3.8999999999999995,-3
Connecticut,CT,4900000,15688941.176470589,266712000,17,new_data,3565287,74.80800283399344,0.47681995867373367,4.3999999999999995,-5.3999999999999915
District of Columbia,DC,2850000,6010000,30050000,5,new_data,705749,42.57887719288302,0.7084671745903998,3.5,-4.5
Delaware,DE,15000000,19073987.8,95369939,5,new_data,973764,97.93947917565242,0.5134714366109242,1.7999999999999998,-2.5
Florida,FL,2100000,5583117.925333333,2093669222,375,new_data,21477737,97.48090415670887,1.745994002999478,1.5,-3.6000000000000014
Georgia,GA,10000000,20454731.94827586,593187226.5,29,new_data,10617423,55.86922801323824,0.27313595775547417,1.7999999999999998,-2.5999999999999943
Hawaii,HI,12250000,12250000,24500000,2,new_data,1415872,17.30382407449261,0.1412557067305519,8.3,-6.200000000000003
Iowa,IA,2500000,7825263.333333333,70427370,9,new_data,3155070,22.321967499928686,0.28525516074128304,0.8000000000000003,-4.899999999999999
Idaho,ID,18117862,18117862,36235724,2,new_data,1787065,20.276668168197574,0.1119153472313542,0.8999999999999999,-1.5
Illinois,IL,4875000,11451934.020434782,526788964.94,46,new_data,12671821,41.57168610099527,0.3630101782529914,4.2,-4.5
Indiana,IN,6722655.46,13680147.384444445,246242652.92,18,new_data,6732219,36.57674429783107,0.267370981247045,1,-1.3999999999999986
Kansas,KS,7635068,12073526.722222222,217323481,18,new_data,2913314,74.59665556132981,0.6178530704208335,0.2999999999999998,-0.29999999999999716
Kentucky,KY,6721433,9609161.625,153746586,16,new_data,4467673,34.413124237158804,0.3581282694592912,1.2000000000000002,-3.299999999999997
Louisiana,LA,2732500,6449152.44,322457622,50,new_data,4648794,69.36371497640033,1.0755477657216044,2.5,-3.200000000000003
Massachusetts,MA,3500000,11751235.375,470049415,40,new_data,6892503,68.19720136501935,0.5803406977117022,5,-3.5
Maryland,MD,5500000,9948746,139282444,14,new_data,6045680,23.038342088896535,0.23157031136282438,3.0000000000000004,-5.899999999999999
Michigan,MI,4641115,8554353.333333334,307956720,36,new_data,9986857,30.83620001768324,0.36047377067680053,2,-3.5
Minnesota,MN,4400000,5775128.5037254905,294531553.69,51,new_data,5639632,52.225314291783576,0.9043143240551865,1.2999999999999998,-3.200000000000003
Missouri,MO,5050000,17194347.736842107,653385214,38,new_data,6137428,106.45912489726967,0.6191518662214855,0.6999999999999997,-1.7999999999999972
Mississippi,MS,14578286.01,19484428.67,116906572.02,6,new_data,2976149,39.281155620904734,0.20160280953675372,0.8000000000000007,-0.6000000000000014
Montana,MT,804000,804000,804000,1,new_data,1068778,0.7522609933961965,0.09356480017365627,0.2999999999999998,-2
