abb,year,month,total,mean,num_loans,year_month,state,population,per_cap_loan,per_cap_num_loans,epop,unemp,epop_jan_2020,unemp_jan_2020,epop_change,unemp_change,unemp_diff,epop_diff,unemp_diff_in_diff,epop_diff_in_diff,unemp_month_change,epop_month_change
CA,2020,10,592314120,19106907.096774194,31,Oct 2020,California,39512223,14.990655423259785,0.0784567347678717,54.8,9.8,59.9,4.2,-5.100000000000001,5.6000000000000005,3.3078431372549026,-3.7392156862745125,2.72467320261438,-1.8875816993464092,-0.7999999999999989,1.8999999999999986
CA,2020,11,224422354,8015084.071428572,28,Nov 2020,California,39512223,5.679821001212713,0.07086414753227122,54.6,8.7,59.9,4.2,-5.299999999999997,4.499999999999999,2.4862745098039207,-3.890196078431373,1.9031045751633981,-2.0385620915032696,-1.1000000000000014,-0.19999999999999574
CA,2020,12,954715436,7517444.377952756,127,Dec 2020,California,39512223,24.162534110014512,0.3214195263070873,54.5,9.3,59.9,4.2,-5.399999999999999,5.1000000000000005,3.2627450980392165,-4.158823529411762,2.679575163398694,-2.307189542483659,0.6000000000000014,-0.10000000000000142
CA,2021,1,1500000,1500000,1,Jan 2021,California,39512223,0.037962936178002435,0.0025308624118668293,54.6,9,59.9,4.2,-5.299999999999997,4.8,3.2176470588235295,-4.188235294117646,2.634477124183007,-2.336601307189543,-0.3000000000000007,0.10000000000000142
CO,2020,8,76565249,25521749.666666668,3,Aug 2020,Colorado,5758736,13.295495574028745,0.05209476524014992,62.5,7.1,67,2.7,-4.5,4.3999999999999995,-0.6705882352941179,4.994117647058822,0.23790849673202574,-0.3125816993464072,-0.3000000000000007,0.7999999999999972
CO,2020,9,9400000,9400000,1,Sep 2020,Colorado,5758736,1.6323026441913642,0.01736492174671664,63,7,67,2.7,-4,4.3,-0.1274509803921573,5.06666666666667,0.7810457516339864,-0.24003267973855902,-0.09999999999999964,0.5
CO,2020,10,35408361,7081672.2,5,Oct 2020,Colorado,5758736,6.148634179444934,0.0868246087335832,63.4,6.9,67,2.7,-3.6000000000000014,4.2,0.4078431372549023,4.860784313725489,1.316339869281046,-0.4459150326797401,-0.09999999999999964,0.3999999999999986
CO,2020,11,10940000,3646666.6666666665,3,Nov 2020,Colorado,5758736,1.8997224390908005,0.05209476524014992,63.6,6.9,67,2.7,-3.3999999999999986,4.2,0.6862745098039218,5.109803921568627,1.5947712418300655,-0.19689542483660194,0,0.20000000000000284
CO,2020,12,219816288,12212016,18,Dec 2020,Colorado,5758736,38.17092639773728,0.31256859144089955,63.8,6.9,67,2.7,-3.200000000000003,4.2,0.8627450980392162,5.141176470588235,1.7712418300653598,-0.1655228758169942,0,0.19999999999999574
CT,2020,8,22626000,22626000,1,Aug 2020,Connecticut,3565287,6.346193167618764,0.028048232863160806,58.6,8.4,64.1,3.7,-5.499999999999993,4.7,0.6294117647058828,1.0941176470588232,0.6045751633986931,-1.3625816993464053,-2.9000000000000004,0.30000000000000426
CT,2020,9,90000000,90000000,1,Sep 2020,Connecticut,3565287,25.243409576844726,0.028048232863160806,58.7,8.3,64.1,3.7,-5.3999999999999915,4.6000000000000005,1.1725490196078434,0.7666666666666728,1.1477124183006537,-1.6900326797385556,-0.09999999999999964,0.10000000000000142
CT,2020,10,6200000,6200000,1,Oct 2020,Connecticut,3565287,1.73899043751597,0.028048232863160806,58.7,8.2,64.1,3.7,-5.3999999999999915,4.499999999999999,1.7078431372549012,0.16078431372549318,1.6830065359477115,-2.2959150326797353,-0.10000000000000142,0
CT,2020,11,2500000,2500000,1,Nov 2020,Connecticut,3565287,0.7012058215790201,0.028048232863160806,58.7,8.2,64.1,3.7,-5.3999999999999915,4.499999999999999,1.9862745098039207,0.20980392156862848,1.961437908496731,-2.2468954248366,0,0
CT,2020,12,145386000,11183538.461538462,13,Dec 2020,Connecticut,3565287,40.77820383043497,0.36462702722109047,58.7,8.2,64.1,3.7,-5.3999999999999915,4.499999999999999,2.162745098039215,0.04117647058824048,2.1379084967320257,-2.415522875816988,0,0
DC,2020,11,20000000,20000000,1,Nov 2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DC,2020,12,10050000,2512500,4,Dec 2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE,2020,8,50000000,50000000,1,Aug 2020,Delaware,973764,51.34714366109242,0.10269428732218483,57,7.9,60,4.3,-3,3.6000000000000005,0.12941176470588278,-0.5058823529411782,0.04624183006535991,0.9040849673202576,-0.40000000000000036,0.20000000000000284
DE,2020,9,4745500,4745500,1,Sep 2020,Delaware,973764,4.873357404874282,0.10269428732218483,57.2,7.6,60,4.3,-2.799999999999997,3.3,0.47254901960784235,-0.7333333333333272,0.3893790849673195,0.6766339869281086,-0.3000000000000007,0.20000000000000284
DE,2020,12,40624439,13541479.666666666,3,Dec 2020,Delaware,973764,41.718978109685715,0.3080828619665545,57,5.9,60,4.3,-3,1.6000000000000005,-0.13725490196078383,-1.6588235294117624,-0.22042483660130668,-0.24885620915032658,0.10000000000000053,-0.10000000000000142
FL,2020,7,68875948,3826441.5555555555,18,Jul 2020,Florida,21477737,3.206853124237437,0.08380771214397494,50.7,11.5,57.6,3.3,-6.899999999999999,8.2,2.4705882352941178,-6.066666666666663,2.745751633986928,-1.81503267973856,-0.09999999999999964,1.1000000000000014
FL,2020,8,294730382,6140216.291666667,48,Aug 2020,Florida,21477737,13.722599452633208,0.22348723238393317,52.1,7.9,57.6,3.3,-5.5,4.6000000000000005,0.12941176470588278,-5.405882352941177,0.4045751633986932,-1.154248366013074,-3.5999999999999996,1.3999999999999986
FL,2020,9,143640346,4488760.8125,32,Sep 2020,Florida,21477737,6.6878715387938685,0.14899148825595546,52.8,7.2,57.6,3.3,-4.800000000000004,3.9000000000000004,0.07254901960784288,-5.133333333333333,0.3477124183006533,-0.8816993464052301,-0.7000000000000002,0.6999999999999957
FL,2020,10,193977004,3592166.7407407407,54,Oct 2020,Florida,21477737,9.03153828543482,0.2514231364319248,53.2,5.8,57.6,3.3,-4.399999999999999,2.5,-0.6921568627450982,-5.339215686274507,-0.4169934640522878,-1.087581699346404,-1.4000000000000004,0.4000000000000057
FL,2020,11,466034176,7516680.258064516,62,Nov 2020,Florida,21477737,21.698476706368087,0.2886710084959137,53.5,5.4,57.6,3.3,-4.100000000000001,2.1000000000000005,-0.8137254901960782,-4.990196078431374,-0.5385620915032678,-0.7385620915032716,-0.39999999999999947,0.29999999999999716
FL,2020,12,926411366,5754107.8633540375,161,Dec 2020,Florida,21477737,43.133565049241454,0.749613425287776,53.7,5.1,57.6,3.3,-3.8999999999999986,1.7999999999999998,-0.9372549019607845,-4.9588235294117595,-0.6620915032679742,-0.7071895424836567,-0.3000000000000007,0.20000000000000284
GA,2020,8,20927778,10463889,2,Aug 2020,Georgia,10617423,1.971078857835842,0.018836962603825804,55.5,7,60.8,3.3,-5.299999999999997,3.7,-0.7705882352941176,-2.0058823529411782,-0.7370915032679738,-0.9292483660130728,-0.5999999999999996,0.20000000000000284
GA,2020,9,279266640.5,69816660.125,4,Sep 2020,Georgia,10617423,26.302676317972825,0.03767392520765161,55.6,6.5,60.8,3.3,-5.199999999999996,3.2,-0.6274509803921573,-2.3333333333333286,-0.5939542483660135,-1.2566993464052232,-0.5,0.10000000000000142
GA,2020,10,17000000,17000000,1,Oct 2020,Georgia,10617423,1.6011418213251936,0.009418481301912902,58.1,5.9,60.8,3.3,-2.6999999999999957,2.6000000000000005,-0.5921568627450977,-0.43921568627450824,-0.5586601307189539,0.6374183006535972,-0.5999999999999996,2.5
GA,2020,11,113615690,16230812.857142856,7,Nov 2020,Georgia,10617423,10.700872518689328,0.06592936911339031,58,5.6,60.8,3.3,-2.799999999999997,2.3,-0.6137254901960789,-0.49019607843137436,-0.5802287581699351,0.586437908496731,-0.3000000000000007,-0.10000000000000142
GA,2020,12,162377118,10825141.2,15,Dec 2020,Georgia,10617423,15.29345849741505,0.14127721952869354,57.9,5.3,60.8,3.3,-2.8999999999999986,2,-0.7372549019607844,-0.7588235294117638,-0.7037581699346406,0.3178104575163416,-0.2999999999999998,-0.10000000000000142
HI,2020,12,24500000,12250000,2,Dec 2020,Hawaii,1415872,17.30382407449261,0.1412557067305519,54.3,10.3,60.5,2,-6.200000000000003,8.3,4.2627450980392165,-4.358823529411765,5.39624183006536,-2.590522875816995,0,0
IA,2020,9,30580870,30580870,1,Sep 2020,Iowa,3155070,9.69261220828698,0.03169501786014256,62.8,4.7,68,2.8,-5.200000000000003,1.9000000000000004,-2.427450980392157,4.866666666666667,-1.61062091503268,-1.7233660130718969,-0.5999999999999996,0.3999999999999986
IA,2020,10,12240000,12240000,1,Oct 2020,Iowa,3155070,3.87947018608145,0.03169501786014256,62.9,4.2,68,2.8,-5.100000000000001,1.4000000000000004,-2.292156862745098,4.360784313725489,-1.4753267973856208,-2.229248366013075,-0.5,0.10000000000000142
IA,2020,11,12000000,4000000,3,Nov 2020,Iowa,3155070,3.8034021432171077,0.0950850535804277,62.9,3.9,68,2.8,-5.100000000000001,1.1,-2.3137254901960786,4.409803921568624,-1.4968954248366015,-2.1802287581699398,-0.30000000000000027,0
IA,2020,12,15606500,3901625,4,Dec 2020,Iowa,3155070,4.94648296234315,0.12678007144057024,62.8,3.7,68,2.8,-5.200000000000003,0.9000000000000004,-2.337254901960784,4.141176470588235,-1.520424836601307,-2.448856209150329,-0.19999999999999973,-0.10000000000000142
